"id","type_1","type_2","type_3","heroId","heroName","eName","cName","rCD","gradient","updateId","wikiId","skinNum","heroVote","tagType","tagText","qqBanTimes","qqBanRate","qqPickTimes","qqPickRate","qqWinTimes","qqWinRate","qqScore","wxBanTimes","wxBanRate","wxPickTimes","wxPickRate","wxWinTimes","wxWinRate","wxScore","allBanTimes","allBanRate","allPickTimes","allPickRate","allWinTimes","allWinRate","allExpectRate","allScore","allScore_ex","avgScore","avgQQFightPower","pickTimes_w","pickTimes_m","skillId_1","skillPickTimes_1","skillPickRate_1","skillId_2","skillPickTimes_2","skillPickRate_2","killCnt","deadCnt","assistCnt","hurtTransRate","totalHurtCnt","totalHeroHurtCnt","totalBehurtCnt","totalBeheroHurtCnt","behurtPerDeath","equipmentMoney","equipmentMoneyMin","joinGamePercent","heroLevel","towerCnt","maxTower","kdaScore","monsterCoin","killSoldier","buildingDamage","ctrlTime","healCnt","winMvpTimes","winMvpRate","loseMvpTimes","loseMvpRate","allMvpRate","evaluateSilverTimes","evaluateSilverRate","evaluateGoldTimes","evaluateGoldRate","allBrandRate","adaptationRate","usedtime","trend","isUp","oldIndex","newIndex","changeValue","onlineTime","adjustmentTime","skinTime","updateTime"
"11","1","5",,"149","刘邦","liú_bāng","lb","99","0.5","233694167","22965954","1","0.25",,,"8206","0.454828","3361","0.186288","1545","0.459685","117.095","8290","0.629126","1994","0.151324","963","0.482949","133.053","16496","0.528396","5355","0.17153","2508","0.468347","0.0207028","125.074","1514150","31.3156","12172","28248",,"80108","14602","0.514173","1347","3015","0.106166","2.8969","3.3774","6.7472","0.748459","179386","43361.9","100940","85949.6","31085.7","9054.5","634.822","0.617129","13.6504","0.29","0.093","6.25683","329.131","32.1776","2737.94","7.08105","13643.1","347","0.064799","338","0.063119","0.127918","712","0.13296","407","0.076004","0.208964","0.0165289","852.86","1","0","6","6","0.00253384","26/4/2016 00:00:00","28/3/2024 00:00:00","28/1/2022 00:00:00","11/8/2024 00:30:03"
"12","1",,,"144","程咬金","chéng_yǎo_jīn","金金|小金金|cyj","99","5","233690973",,"1","0",,,"2","0.000110852","149","0.00825851","67","0.449664","24.1488","3","0.000227669","273","0.0207179","125","0.457875","27.0658","5","0.000160159","422","0.0135174","192","0.454976","0.00177528","25.6073","247930","26.997","9766","1779",,"80104","828","0.526048","1421","192","0.121982","1.981","3.5","3.9218","0.829621","282737","54179.9","130665","104451","37106.3","9856.05","696.81","0.40695","13.6351","0.6635","0.2393","3.79528","905.815","40.0355","5097.64","1.82227","129416","29","0.06872","26","0.061611","0.130332","51","0.120853","38","0.090047","0.2109","0","825.569","0","0","110","115","-0.000874809","1/1/1999 00:00:00","11/4/2024 00:00:00","25/4/2024 00:00:00","11/8/2024 00:30:03"
"13","1",,,"140","关羽","guān_yǔ","二哥|武圣|冰封|冰峰|冰马|关二爷|gy","99","2.5","233694489",,"1","0",,,"2","0.000110852","1082","0.0599712","558","0.515712","37.7937","2","0.00015178","844","0.064051","452","0.535545","39.6064","4","0.000128127","1926","0.0616932","1010","0.524403","0.0270497","38.7001","456970","55.7985","11838","9101",,"80109","8075","0.938844","1331","845","0.0982444","3.1236","3.1521","5.0353","0.743873","213069","47466.7","71604.2","60122.5","23073.1","9682.76","666.951","0.498792","13.8894","0.1615","0.0421","5.64371","307.48","42.9964","1505.65","26.3686","8578.91","146","0.075805","168","0.087227","0.163032","294","0.152648","233","0.120976","0.273624","0.00826446","870.062","0","3","54","54","0.0020693","28/6/2016 00:00:00","25/4/2024 00:00:00","22/9/2022 00:00:00","11/8/2024 00:30:03"
"14","1",,,"135","项羽","xiàng_yǔ","西楚|霸王|xy","99","1.5","233689508","23066794","1","0.6",,,"140","0.00775967","1766","0.0978827","812","0.459796","43.5363","91","0.00690597","1486","0.112772","686","0.461642","46.4998","231","0.00739934","3252","0.104167","1498","0.46064","0.0075222","45.0181","520634","32.7435","11586","16316",,"80115","15040","0.883459","1334","4228","0.248355","2.2066","3.7239","4.8607","0.855873","199617","51575.7","88722.6","75814.1","24556.4","9035.22","634.976","0.461539","13.6516","0.3745","0.1245","4.06937","421.354","35.1633","3343.89","24.4825","23762.2","124","0.03813","164","0.050431","0.088561","289","0.088868","170","0.052276","0.141144","0.0909091","854.065","1","0","45","44","-0.00435513","1/1/1999 00:00:00","7/3/2024 00:00:00","9/2/2023 00:00:00","11/8/2024 00:30:03"
"15","1","4",,"134","达摩","dá_mó","光头|dm","99","3.5","233691958",,"1","0",,,"4","0.000221705","616","0.0341426","304","0.493506","31.5315","1","0.0000758898","443","0.0336192","213","0.480813","30.774","5","0.000160159","1059","0.0339217","517","0.488196","0.179179","31.1528","348911","30.5616","11258","5619",,"80115","5436","0.988004","1134","2397","0.43566","2.847","3.4636","4.7828","0.743626","230961","48051.7","74526.1","61238.8","21523.4","9804.34","672.072","0.48105","13.8857","0.4495","0.1416","4.75311","539.523","42.1662","3712.16","26.0208","24374.8","65","0.061379","85","0.080264","0.141643","140","0.1322","78","0.073654","0.205855","0.00826446","871.029","0","6","82","85","-0.00016235","1/1/1999 00:00:00","25/4/2024 00:00:00","9/11/2023 00:00:00","11/8/2024 00:30:03"
"16","1","4",,"126","夏侯惇","xià_hóu_dūn","夏侯|高达|吓猴蹲|xhd","99","3","233694724","23657334","1","0.1",,,"7","0.000387984","915","0.050715","428","0.46776","33.5795","6","0.000455339","952","0.0722471","467","0.490546","39.0336","13","0.000416413","1867","0.0598033","895","0.479379","0.00687718","36.3066","391748","29.2172","10890","9232",,"80104","3693","0.422395","1333","3778","0.432117","2.1387","3.1875","5.7263","0.825978","279369","50885.2","128168","106166","41137","9313.38","653.165","0.524076","13.7536","0.4199","0.1414","5.55101","1355.27","27.602","3647.52","38.7542","20626.3","96","0.051419","106","0.056776","0.108195","221","0.118372","128","0.068559","0.186931","0.0330578","850.134","2","3","65","73","-0.00323242","19/7/2016 00:00:00","9/5/2024 00:00:00","11/4/2024 00:00:00","11/8/2024 00:30:03"
"17","1",,,"123","吕布","lǚ_bù","布学|绿布|卢布|奉先|lb","99","4","233693126",,"1","0.25",,,"0","0","846","0.0468906","382","0.451537","31.955","4","0.000303559","1032","0.0783183","457","0.442829","37.8431","4","0.000128127","1878","0.0601557","839","0.446752","0.0330998","34.899","381097","75.8354","10978","8833",,"80115","7953","0.944761","1138","4522","0.537182","2.68","3.5852","5.3115","0.874015","195516","53742.9","93582.1","77504.1","25811.6","8993.83","627.745","0.504786","13.6667","0.3163","0.0895","4.72243","422.597","34.1624","2541.66","11.6991","19875.1","90","0.047923","138","0.073482","0.121406","222","0.118211","133","0.07082","0.189031","0","860.486","1","0","73","76","-0.00642477","22/12/2015 00:00:00",,"27/9/2023 00:00:00","11/8/2024 00:30:03"
"18","1","4",,"121","芈月","mǐ_yuè","闵月|太后|my","99","3","233692926",,"1","0.3333",,,"4","0.000221705","781","0.0432879","412","0.527529","35.0617","13","0.000986567","785","0.0595735","394","0.501911","37.1336","17","0.00054454","1566","0.0501618","806","0.514687","0.0329294","36.0976","422631","46.0738","11761","6685",,"80110","3927","0.63196","1521","894","0.143869","2.9176","3.3442","3.4604","0.924457","422974","64514.1","86082.5","65786.3","24672.7","10479.6","758.871","0.431137","14.0926","1.046","0.3672","4.54529","1725.76","40.8914","8849.25","2.45913","22201.1","188","0.120051","138","0.088123","0.208174","218","0.139208","183","0.116858","0.256066","0.0247934","837.443","2","1","64","62","0.00017954","8/12/2015 00:00:00","13/6/2024 00:00:00","6/6/2024 00:00:00","11/8/2024 00:30:03"
"19","1",,,"120","白起","bái_qǐ","电风扇|bq","99","2","233691071",,"1","0.3333",,,"4","0.000221705","2050","0.113624","1047","0.510732","48.2891","6","0.000455339","1425","0.108143","702","0.492632","46.3171","10","0.000320318","3475","0.11131","1749","0.503309","0.0054225","47.3031","544695","37.6775","11602","16601",,"80108","10483","0.667112","1338","4817","0.306542","2.855","3.1876","5.1122","0.701381","216690","43262.4","126160","106100","41310.3","9503.91","670.7","0.509783","13.741","0.1856","0.0529","5.62298","602.372","38.5301","1340.06","15.7799","59195.5","165","0.047482","184","0.05295","0.100432","420","0.120863","210","0.060432","0.181295","0","850.508","2","9","37","40","-0.00577242","1/1/1999 00:00:00","11/4/2024 00:00:00","16/2/2023 00:00:00","11/8/2024 00:30:03"
"20","4","1",,"117","钟无艳","zhōng_wú_yàn","锤子|锤子妈|zwy","99","5","233690349",,"1","0",,,"2","0.000110852","201","0.0111407","100","0.497512","27.1176","0","0","142","0.0107764","84","0.591549","31.7327","2","0.0000640635","343","0.0109869","184","0.536443","0.00697134","29.4252","289308","27.7585","9879","1637",,"80104","510","0.333551","1137","1437","0.93983","3.4111","3.0233","4.7318","0.842566","320619","55472.2","93931.2","75648.4","30594.6","9909.98","711.724","0.500682","14.0991","0.6793","0.1808","6.06676","1300.45","36.6035","6330.88","14.0292","6524.01","40","0.116618","22","0.06414","0.180758","50","0.145773","42","0.122449","0.268222","0","854.828","0","2","118","105","0.000052401","1/1/1999 00:00:00","4/1/2024 00:00:00","29/2/2024 00:00:00","11/8/2024 00:30:03"
